OwnerID,OwnerName,TelNo,Email,DogID,DogName,Breed,Size,Coat,Comments,GroomOption,Description,GroomTime,SizeTimeAdjustment,AdjustedGroomTime,GroomCost,SizeCostAdjustment,AdjustedGroomCost,BookingDate,BookingTime,TOTALLengthofAppointment,TOTALCost
765,Mahima Raab,543 777123,raabm@btd.com,D901,Bella,Rhodesian Ridgeback,Large,Single,Cannot eat beef based treats,W011,Wash and Dry,15,80,27,£10.00,80,£18.00,10/08/2022,15:00,37,£31.50
765,Mahima Raab,543 777123,raabm@btd.com,D901,Bella,Rhodesian Ridgeback,Large,Single,Cannot eat beef based treats,E899,Ear Cleaning,10,0,10,£7.50,80,£13.50,10/08/2022,15:00,37,£31.50
212,Samantha Kibson,7890 67123,kibsons@yakkity.co.uk,D321,Poppy-Sage,Pomeranian,Small,Double,Needs a muzzle for nail trim,N045,Nail Trim ,10,0,10,£5.00,0,£5.00,16/12/2022,11:00,60,£52.50
212,Samantha Kibson,7890 67123,kibsons@yakkity.co.uk,D321,Poppy-Sage,Pomeranian,Small,Double,Needs a muzzle for nail trim,W050,Luxury Wash and Dry,25,0,25,£17.50,0,£17.50,16/12/2022,11:00,60,£52.50
212,Samantha Kibson,7890 67123,kibsons@yakkity.co.uk,D321,Poppy-Sage,Pomeranian,Small,Double,Needs a muzzle for nail trim,C021,Teddy Bear Cut,25,0,25,£30.00,0,£30.00,16/12/2022,11:00,60,£52.50
542,Peter Small,123 654263,small@gsnail.com,D877,Rick-Roly,Schnauzer,Small,Single,Use sensitive shampoo,W011,Wash and Dry,15,0,15,£10.00,0,£10.00,05/04/2022,14:30,30,£30.00
542,Peter Small,123 654263,small@gsnail.com,D877,Rick-Roly,Schnauzer,Small,Single,Use sensitive shampoo,C034,Breed Trim,15,0,15,£20.00,0,£20.00,05/04/2022,14:30,30,£30.00
213,Jordan Foster,6734 321022,FosterMJ@Yahoop.com,D567,Brian,Dachshund,Small,Single,Snappy when being washed,N045,Nail Trim ,10,0,10,£5.00,0,£5.00,27/02/2022,09:45,20,£12.50
213,Jordan Foster,6734 321022,FosterMJ@Yahoop.com,D567,Brian,Dachshund,Small,Single,Snappy when being washed,E899,Ear Cleaning,10,0,10,£7.50,80,£13.50,27/02/2022,09:45,20,£12.50
101,Joe Brown,0121 543182,Jbrown@gmaiy.com,D231,Max,Golden Retriever,Large,Double,Does not like hairdryer on face,W011,Wash and Dry,15,80,27,£10.00,80,£18.00,10/08/2022,09:00,72,£66.60
